src_ip,dst_ip,duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
36.253.164.249,192.168.29.172,0.0,54,0,0,1,20,0,0,0
87.130.28.104,192.168.29.172,0.0,54,0,0,1,20,0,0,0
143.121.5.134,192.168.29.172,0.0,54,0,0,1,20,0,0,0
237.149.44.87,192.168.29.172,0.0,54,0,0,1,20,0,0,0
30.165.227.221,192.168.29.172,0.0,54,0,0,1,20,0,0,0
94.133.66.87,192.168.29.172,0.0,54,0,0,1,20,0,0,0
54.200.174.95,192.168.29.172,0.0,54,0,0,1,20,0,0,0
166.143.149.95,192.168.29.172,0.0,54,0,0,1,20,0,0,0
105.33.248.13,192.168.29.172,0.0,54,0,0,1,20,0,0,0
193.118.237.23,192.168.29.172,0.0,54,0,0,1,20,0,0,0
50.232.122.44,192.168.29.172,0.0,54,0,0,1,20,0,0,0
190.255.115.252,192.168.29.172,0.0,54,0,0,1,20,0,0,0
175.254.93.133,192.168.29.172,0.0,54,0,0,1,20,0,0,0
149.129.92.222,192.168.29.172,0.0,54,0,0,1,20,0,0,0
69.36.122.134,192.168.29.172,0.0,54,0,0,1,20,0,0,0
232.64.252.89,192.168.29.172,0.0,54,0,0,1,20,0,0,0
144.91.105.227,192.168.29.172,0.0,54,0,0,1,20,0,0,0
118.130.12.114,192.168.29.172,0.0,54,0,0,1,20,0,0,0
248.200.227.87,192.168.29.172,0.0,54,0,0,1,20,0,0,0
222.205.164.196,192.168.29.172,0.0,54,0,0,1,20,0,0,0
163.106.164.149,192.168.29.172,0.0,54,0,0,1,20,0,0,0
191.175.149.225,192.168.29.172,0.0,54,0,0,1,20,0,0,0
44.224.87.153,192.168.29.172,0.0,54,0,0,1,20,0,0,0
58.29.88.177,192.168.29.172,0.0,54,0,0,1,20,0,0,0
108.117.195.250,192.168.29.172,0.0,54,0,0,1,20,0,0,0
129.5.153.23,192.168.29.172,0.0,54,0,0,1,20,0,0,0
52.118.87.253,192.168.29.172,0.0,54,0,0,1,20,0,0,0
175.61.28.105,192.168.29.172,0.0,54,0,0,1,20,0,0,0
129.98.36.5,192.168.29.172,0.0,54,0,0,1,20,0,0,0
160.11.15.240,192.168.29.172,0.0,54,0,0,1,20,0,0,0
36.177.160.52,192.168.29.172,0.0,54,0,0,1,20,0,0,0
145.196.61.28,192.168.29.172,0.0,54,0,0,1,20,0,0,0
104.22.26.200,192.168.29.172,0.0,54,0,0,1,20,0,0,0
132.244.106.118,192.168.29.172,0.0,54,0,0,1,20,0,0,0
145.40.86.109,192.168.29.172,0.0,54,0,0,1,20,0,0,0
175.10.202.127,192.168.29.172,0.0,54,0,0,1,20,0,0,0
99.0.173.27,192.168.29.172,0.0,54,0,0,1,20,0,0,0
76.233.114.228,192.168.29.172,0.0,54,0,0,1,20,0,0,0
234.139.197.109,192.168.29.172,0.0,54,0,0,1,20,0,0,0
129.133.105.233,192.168.29.172,0.0,54,0,0,1,20,0,0,0
